taxon,18S,atpB,ndhF,trnL-trnF,
Astragalus_subvestitus,,,,,
Astragalus_tener,,,,,
Astragalus_tidestromii,,,,,
Astragalus_traskiae,,,,,
Astragalus_tricarinatus,,,,,
Astragalus_trichopodus,,,,,
Astragalus_umbraticus,,,,,
Astragalus_webberi,,,,,
Astragalus_whitneyi,,,,,
Astrolepis_cochisensis,,,,EU831183.1,
Athyrium_distentifolium,,EF463560.1,,AY300047.1,
Athyrium_filix-femina,HQ157254.1,JF832154.1,,HQ676519.1,
Athysanus_pusillus,,,,GU246241.1,
Athysanus_unilateralis,,,,GU202677.1,
Draba_cuneifolia,,,,DQ467111.1,
Atriplex_argentea,,,,,
Atriplex_canescens,FJ601843.1,,AY090631.1,,
Atriplex_confertifolia,,,,,
Atriplex_cordulata,,,,,
Atriplex_coronata,,,,,
Atriplex_coulteri,,,,,
Atriplex_depressa,,,,,
Atriplex_dioica,,,,,
Atriplex_elegans,,,,,
Atriplex_fruticulosa,,,,,
Atriplex_gardneri,,,,,
Atriplex_gmelinii,,,,,
Atriplex_hymenelytra,,,,,
Atriplex_lentiformis,,,,,
Atriplex_leucophylla,,,,,
Atriplex_minuscula,,,,,
Atriplex_pacifica,,,,,
Atriplex_parishii,,,,,
Atriplex_parryi,,,,,
Atriplex_patula,,,,DQ499379.1,
Atriplex_persistens,,,,,
Atriplex_polycarpa,,,,,
Atriplex_pusilla,,,,,
Atriplex_serenana,,,,,
Atriplex_spinifera,,,,,
Atriplex_subtilis,,,,,
Atriplex_torreyi,FJ601842.1,,,,
Atriplex_truncata,,,,,
Atriplex_tularensis,,,,,
Atriplex_watsonii,,,,,
Ayenia_compacta,,,,,
Azolla_filiculoides,AY612717.1,EF520876.1,,EF520889.1,
Azolla_microphylla,,EF520879.1,,EF520892.1,
Baccharis_brachyphylla,,,,,
Baccharis_glutinosa,,,,,
Baccharis_malibuensis,,,,,
Baccharis_pilularis,,,,,
Baccharis_plummerae,,,,,
Baccharis_salicifolia,,,,,
Baccharis_salicina,,,,,
Baccharis_sarothroides,,,,,
Baccharis_sergiloides,,,,,
Baccharis_vanessae,,,,,
Bacopa_eisenii,,,EF467911.1,EF467888.1,
Bahia_neomexicana,,,,,
Bahiopsis_laciniata,,,,,
Bahiopsis_parishii,,,,,
Bahiopsis_reticulata,,,,,
Baileya_pauciradiata,,,,,
Baileya_multiradiata,,,,,
Baileya_pleniradiata,,,,,
Barbarea_orthoceras,,,,,
Batis_maritima,U42504.1,AF209538.1,EU002199.1,,
Bebbia_juncea,,,AF384696.3,AY216146.1,
Beckmannia_syzigachne,,DQ780963.1,DQ786817.1,EU639570.1,
Benitoa_occidentalis,,,,,
Bensoniella_oregona,,,,,
Berberis_nervosa,,,KC575564.1,,
Berberis_higginsiae,,,AY145164.1,,
Berberis_nevinii,,,KC575568.1,,
Berberis_aquifolium,,AF528846.1,KC575566.1,FJ490772.1,
Berberis_fremontii,,,KC575567.1,,
Berberis_haematocarpa,,,,,
Berberis_harrisoniana,,,,,
Berberis_pinnata,,,,,
Bergerocactus_emoryi,,,,DQ099925.1,
Bergia_texana,AY674577.1,JX663791.1,JX662739.1,,
Bernardia_incana,,,,,
Berula_erecta,,,,,
Betula_glandulosa,,,,FJ012056.1,
Betula_occidentalis,,,,AY211428.1,
Bidens_cernua,,,,,
Bidens_frondosa,,,,,
Bidens_laevis,,,AB530917.1,,
Bistorta_bistortoides,,,,,
Blechnum_spicant,,JF832157.1,,HQ676520.1,
Blennosperma_bakeri,,,,,
Blennosperma_nanum,,,L39433.1,EF028720.1,
Blepharidachne_kingii,,,JN681720.1,EF156672.1,
Blepharipappus_scaber,,,,,
Blepharizonia_laxa,,,,,
Blepharizonia_plumosa,,,,,
Hemizonia_congesta,,,,,
Bloomeria_clevelandii,,,AF508373.1,AF508484.1,
Bloomeria_crocea,HM640753.1,JX903834.1,AF508353.1,AJ311073.1,
Bloomeria_humilis,,,AF508354.1,AF508465.1,
Triteleia_bridgesii,,,AF508378.1,AF508489.1,
Triteleia_clementina,,,,,
Triteleia_crocea,,,AF508379.1,AF508490.1,
Triteleia_dudleyi,,,,,
Triteleia_grandiflora,,,AF508380.1,AF508491.1,
Triteleia_hendersonii,,,AF508382.1,AF508493.1,
Triteleia_hyacinthina,JQ283898.1,JQ273639.1,JQ276816.1,AF508494.1,
Triteleia_ixioides,,,AF508384.1,AF508495.1,
Triteleia_laxa,,,AF508385.1,AF508496.1,
Triteleia_lilacina,,,,,
Triteleia_lugens,,,,,
Triteleia_montana,,,AF508387.1,AF508498.1,
Triteleia_peduncularis,HM640758.1,JX903839.1,AF508388.1,AF508499.1,
Boechera_acutina,,,,,
Boechera_arcuata,,,,JX146142.1,
Boechera_bodiensis,,,,,
Boechera_breweri,,,,JX146140.1,
Boechera_calderi,,,,,
Boechera_californica,,,,,
Boechera_cobrensis,,,,JX146092.1,
Boechera_constancei,,,,JX146141.1,
Boechera_covillei,,,,,
Boechera_davidsonii,,,,JX146084.1,
Boechera_depauperata,,,,,
Boechera_dispar,,,,JX146143.1,
Boechera_divaricarpa,,,,AY257770.1,
Boechera_elkoensis,,,,,
Boechera_evadens,,,,JX146124.1,
Boechera_glaucovalvula,,,,JX146137.1,
Boechera_hoffmannii,,,,,
Boechera_howellii,,,,JX146128.1,
Boechera_inyoensis,,,,EU154309.1,
Boechera_johnstonii,,,,JX146094.1,
Boechera_koehleri,,,,JX146139.1,
Boechera_lemmonii,,,,DQ013054.1,
Boechera_lincolnensis,,,,JX146096.1,
Boechera_lyallii,,,,JX146111.1,
Boechera_parishii,,,,JX146134.1,
Boechera_pauciflora,,,,,
Boechera_paupercula,,,,,
Boechera_peirsonii,,,,,
Boechera_pendulina,,,,JX146102.1,
Boechera_pendulocarpa,,,,JX146091.1,
Boechera_perennans,,,,JX146071.1,
Boechera_pinetorum,,,,,
Boechera_pinzliae,,,,,
Boechera_platysperma,,,DQ288740.1,JX146072.1,
Boechera_pratincola,,,,,
Boechera_puberula,,,,JX146101.1,
Boechera_pulchra,,,,JX146097.1,
Boechera_pygmaea,,,,DQ013052.1,
Boechera_rectissima,,,,JX146144.1,
Boechera_retrofracta,,,,JX146103.1,
Boechera_rigidissima,,,,,
Boechera_rollei,,,,JX146127.1,
Boechera_rubicundula,,,,,
Boechera_serpenticola,,,,JX146146.1,
Boechera_shevockii,,,,,
Boechera_shockleyi,,,,JX146074.1,
Boechera_sparsiflora,,,,JX146062.1,
Boechera_stricta,,,AF064658.1,DQ013051.1,
Boechera_subpinnatifida,,,,JX146099.1,
Boechera_suffrutescens,,,,DQ013046.1,
Boechera_tiehmii,,,,JX146126.1,
Boechera_tularensis,,,,,
Boechera_ultraalsa,,,,,
Boechera_xylopoda,,,,,
Boechera_yorkii,,,,JX146107.1,
Boechera_repanda,,,,JX146145.1,
Boerhavia_coccinea,,,,,
Boerhavia_coulteri,,,,,
Boerhavia_triquetra,,,,,
Boerhavia_wrightii,,,,,
Bolandra_californica,,,,,
Bolboschoenus_fluviatilis,,,,JF313190.1,
Bolboschoenus_maritimus,,,FM160515.1,JF313191.1,
Bolboschoenus_robustus,,,KC678064.1,KC678034.1,
Bothriochloa_barbinodis,,,,,
Botrychium_ascendens,,,,AY138422.1,
Botrychium_crenulatum,,,,AY138431.1,
Botrychium_lineare,,,,AY138425.1,
Botrychium_lunaria,U18623.1,U93826.2,,KF700420.1,
Botrychium_minganense,,,,KF700435.1,
Botrychium_montanum,,,,JN389453.1,
Botrychium_paradoxum,,,,,
Botrychium_pinnatum,,,,AY138433.1,
Botrychium_pumicola,,,,AY138428.1,
