taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Glossopetalon	142	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coryphantha	78	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Triphysaria_1	1003	0.6	0.5	0.0	0.67	0.72	0.84	0.67	0.76	0.33	0.88	0.53	1.0	0.22	0.0	0.0	0.65	0.0	0.72	1.0	0.0	0.63	0.5	0.59	0.63	0.73	0.0	0.0	0.31	0.38	0.63	0.0	0.92	0.0	0.0	0.0	0.76	0.6	0.0	0.5	0.67	0.5	0.39	0.71	1.0	0.74	0.0	0.91	0.56	0.0	0.0	0.73	0.52	0.63	1.0	0.54	0.0	0.47	0.53	0.0	0.0	0.63	0.75	0.0	0.0
Triphysaria_2	414	0.69	0.93	0.0	1.0	0.92	0.78	1.0	0.86	0.33	1.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	0.0	0.69	0.0	0.0	0.0	0.46	0.5	1.0	0.0	0.8	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.63	1.0	0.45	0.79	1.0	0.63	0.0	0.86	0.0	0.0	0.0	0.67	0.75	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Phlox+Microsteris	3467	0.66	0.78	0.65	0.5	0.83	0.57	0.93	0.64	0.48	0.74	0.61	0.72	0.5	1.0	0.57	0.85	1.0	0.82	0.81	0.71	0.7	0.67	0.44	0.52	1.0	0.59	0.72	0.64	0.46	0.75	0.5	0.85	0.6	0.0	0.95	0.0	0.29	0.92	0.86	0.5	0.67	0.61	1.0	0.61	0.65	0.0	0.5	0.62	0.49	0.43	0.75	0.73	1.0	0.8	0.69	0.32	0.73	0.69	0.06	0.53	0.67	0.58	0.0	0.33
Peritoma+	1392	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	1.0	0.33	0.9	0.0	0.0	0.55	0.85	1.0	0.0	0.0	0.0	0.0	0.41	0.47	0.38	0.0	0.0	0.92	0.0	0.0	0.0	0.98	0.0	1.0	0.93	0.71	0.0	0.0	0.57	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6	1.0	0.0	0.0	0.17
Salix_Vetrix	14726	0.92	0.87	1.0	0.81	0.99	0.89	0.98	0.84	0.96	0.99	0.83	1.0	0.99	0.0	0.97	0.98	1.0	1.0	1.0	0.97	0.8	0.99	0.82	0.94	0.6	0.91	0.97	0.89	0.99	0.97	0.98	0.99	0.94	0.0	0.95	1.0	0.9	0.98	0.89	0.84	1.0	0.59	0.87	0.92	0.64	0.0	0.87	0.97	0.95	0.97	0.92	0.94	0.73	1.0	0.98	0.98	0.8	0.92	0.07	0.77	1.0	0.92	0.0	0.28
Peucephyllum	582	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.81	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.99	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
Artemisia_Tridentatae	3291	0.89	0.87	0.96	0.6	0.0	0.0	0.0	0.81	0.0	0.93	0.9	1.0	0.0	0.0	0.87	0.98	0.0	0.0	0.85	0.98	0.72	0.95	0.94	1.0	0.0	0.74	0.83	0.97	1.0	0.93	1.0	1.0	0.84	0.0	0.96	0.0	0.0	0.96	0.88	0.91	1.0	0.74	1.0	0.98	0.53	0.0	0.94	0.5	0.67	0.91	1.0	0.6	0.0	0.0	0.0	1.0	0.85	0.75	0.19	0.87	0.0	0.0	0.0	0.06
Eucnide	268	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.85	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.95	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
