taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Orcuttia_viscida	130	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mimulus_bolanderi	231	0.63	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.5	0.54	0.0	0.0	0.0	0.0	1.0	0.0	0.71	0.0	0.0	0.82	0.0	0.5	0.83	0.0	0.0	0.0	0.25	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.83	0.0	0.0	0.8	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.61	0.69	0.0	0.0	1.0	0.0	0.0	0.0
Erodium_texanum	271	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.27	0.57	1.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.95	0.87	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plagiobothrys_acanthocarpus	397	0.77	0.75	0.0	0.0	0.0	1.0	0.0	0.73	0.0	1.0	0.73	0.0	0.0	0.0	0.0	0.42	1.0	0.0	0.0	0.8	0.57	0.0	0.0	0.0	0.95	1.0	0.0	0.53	0.0	0.0	0.87	0.0	0.0	0.0	1.0	0.0	0.7	0.0	0.88	0.0	0.91	0.6	0.0	0.38	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.79	0.0	1.0	0.0	0.55	1.0	0.0	0.8	0.0	0.0	0.0	0.0
Symphyotrichum_ascendens	404	0.56	0.0	0.58	0.33	0.86	1.0	0.0	0.0	0.0	0.12	0.57	0.0	0.0	0.0	0.64	0.41	0.0	0.0	0.63	0.71	1.0	0.0	0.67	0.0	0.0	0.47	0.32	0.0	0.0	0.38	0.0	0.88	0.52	0.0	1.0	0.0	0.0	0.86	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.67	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.67	0.36	0.3	0.0	1.0	0.0	1.0	0.0	0.0
Penstemon_parvulus	185	0.51	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.8	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.54	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Philadelphus_lewisii	629	0.83	0.0	0.0	0.32	0.94	1.0	0.0	0.0	0.81	1.0	0.67	1.0	0.95	0.0	0.0	0.0	0.0	1.0	0.0	0.8	0.0	1.0	0.87	0.9	0.0	0.0	0.0	0.0	0.0	0.64	1.0	0.96	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	1.0	0.9	0.0	1.0	1.0	1.0	1.0	0.87	0.55	0.6	0.0	0.0	0.0	1.0	0.0	0.0
Leptosiphon_nudatus	108	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.58	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Sidalcea_hartwegii	301	0.64	0.0	0.0	0.75	0.64	0.89	1.0	0.0	1.0	0.46	0.0	0.75	0.0	0.0	0.0	1.0	0.0	0.87	0.0	0.0	0.0	0.0	0.8	0.4	0.75	0.0	0.0	0.0	0.5	0.63	0.0	0.73	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.57	0.77	0.0	0.86	0.88	0.0	0.0	0.0	0.33	0.0	0.0
Cryptantha_intermedia	2455	0.82	1.0	0.0	1.0	0.88	1.0	0.79	0.0	0.67	0.64	1.0	1.0	0.44	0.8	0.44	0.93	0.0	0.75	0.73	0.6	1.0	0.0	0.17	0.5	1.0	0.64	1.0	0.4	0.43	1.0	0.93	0.5	1.0	0.0	0.97	0.0	0.4	0.89	0.93	0.0	1.0	0.57	0.0	0.71	0.0	0.0	0.0	0.67	0.0	0.68	0.0	0.5	1.0	0.67	0.84	0.71	0.67	1.0	0.0	0.78	0.0	0.0	0.0	0.0
