Phacelia hubbyi,1241264
Phacelia distans,281504
Phacelia floribunda,not found
Phacelia grandiflora,79385
Phacelia insularis var. insularis,691950
Phacelia lyonii,not found
Phacelia ramosissima,79394
Phacelia viscida,691953
Pholistoma auritum var. auritum,not found
Pholistoma racemosum,not found
Plagiobothrys acanthocarpus,not found
Plagiobothrys canescens var. catalinensis,not found
Plagiobothrys collinus var. gracilis,not found
Plagiobothrys collinus var. californicus,not found
Athysanus pusillus,457780
Boechera hoffmannii,not found
Brassica nigra,3710
Brassica tournefortii,37661
Brassica rapa,3711
Cakile edentula,349956
Cakile maritima,220483
Capsella bursa-pastoris,3719
Cardamine californica,109594
Cardamine oligosperma,357223
Caulanthus lasiophyllus,154104
Descurainia pinnata,110556
Dithyrea maritima,1244070
Draba cuneifolia,95387
Erysimum ammophilum,not found
Erysimum cheiri,71232
Erysimum insulare,not found
Hirschfeldia incana,71354
Hornungia procumbens,153323
Lepidium didymum,398450
Lepidium draba,153317
Lepidium lasiocarpum,153342
Lepidium latipes,153344
Lepidium nitidum,153352
Lepidium oblongum,153353
Lepidium strictum,537166
Lepidium virginicum ssp. menziesii,not found
Lobularia maritima,226051
Nasturtium officinale,65948
Raphanus raphanistrum,109996
Raphanus sativus,3726
Sibara filifolia,446183
Sinapis arvensis,29728
Sisymbrium altissimum,71365
Sisymbrium irio,3730
Sisymbrium officinale,203582
Sisymbrium orientale,203583
Thysanocarpus conchuliferus,701441
Thysanocarpus curvipes,536437
Thysanocarpus laciniatus,701449
Tropidocarpum gracile,270114
Turritis glabra,63678
Bergerocactus emoryi,130103
Cylindropuntia prolifera,866986
Opuntia ficus-indica,371859
Opuntia littoralis,993096
Opuntia oricola,867496
Githopsis diffusa ssp. diffusa,not found
Lobelia dunnii,104596
Triodanis biflora,1241231
Lonicera hispidula,486673
Lonicera interrupta,566144
Lonicera subspicata var. denudata,not found
Lonicera subspicata var. subspicata,not found
Symphoricarpos mollis,709978
Cardionema ramosissimum,308177
Cerastium glomeratum,3580
Herniaria hirsuta var. cinerea,1137872
Loeflingia squarrosa,191451
Minuartia douglasii,644840
Polycarpon depressum,431018
Polycarpon tetraphyllum,115622
Sagina apetala,1053389
Sagina decumbens ssp. occidentalis,not found
Silene antirrhina,54821
Silene gallica,3575
Silene laciniata ssp. laciniata,403785
Silene coniflora,761501
Spergula arvensis,325515
Spergularia bocconi,not found
Spergularia macrotheca ssp. macrotheca,655171
Spergularia marina,191669
Spergularia villosa,not found
Stellaria media,13274
Stellaria nitens,1137912
Aphanisma blitoides,240026
Arthrocnemum subterminale,1151090
Atriplex argentea ssp. expansa,not found
Extriplex californica,880710
Atriplex canescens var. canescens,not found
Atriplex coulteri,not found
Atriplex lentiformis,89475
Atriplex leucophylla,880669
Atriplex pacifica,not found
Atriplex patula,3551
Atriplex prostrata,190330
Atriplex rosea,3552
Atriplex semibaccata,417609
Atriplex serenana var. davidsonii,not found
Atriplex serenana var. serenana,912161
Atriplex watsonii,912162
Bassia hyssopifolia,224140
Beta vulgaris ssp. maritima,350892
Chenopodium berlandieri,345311
Chenopodium californicum,1072210
Chenopodium murale,46091
Dysphania ambrosioides,330163
Dysphania multifida,1072223
Monolepis nuttalliana,240013
Salicornia depressa,549776
Salicornia pacifica,549776
Salsola australis,151240
Salsola tragus,355937
Suaeda calceoliformis,381272
Suaeda taxifolia,381276
Helianthemum greenei,not found
Helianthemum scoparium,not found
Peritoma arborea,171228
Calystegia macrostegia ssp. amplissima,not found
Calystegia macrostegia ssp. cyclostegia,1428832
Calystegia macrostegia ssp. intermedia,not found
Calystegia macrostegia ssp. macrostegia,not found
Calystegia malacophylla ssp. pedicellata,1428834
Calystegia soldanella,136204
Convolvulus arvensis,4123
Convolvulus simulans,1428934
Cressa truxillensis,197373
Cuscuta californica,437244
Cuscuta campestris,132261
Cuscuta occidentalis,437282
Cuscuta pacifica var. pacifica,437299
Dichondra occidentalis,197376
Ipomoea cairica,129201
Cornus glabrata,367344
Crassula aquatica,not found
Crassula connata,not found
Crassula ovata,not found
Dudleya blochmaniae ssp. blochmaniae,1289435
Dudleya blochmaniae ssp. insularis,1289436
Dudleya caespitosa,not found
Dudleya candelabrum,91085
Dudleya greenei,91086
Dudleya gnoma,1311266
Dudleya nesiotica,1311267
Dudleya traskiae,1311268
Dudleya virens ssp. hassei,1311269
Dudleya virens ssp. insularis,1289465
Dudleya virens ssp. virens,1289466
Crossosoma californicum,23043
Cucurbita foetidissima,184136
Marah fabacea,329128
Marah macrocarpa,48242
Arbutus menziesii,82758
Arctostaphylos catalinae,143364
Arctostaphylos confertiflora,659540
Arctostaphylos insularis,659548
Arctostaphylos crustacea ssp. insulicola,659571
Arctostaphylos crustacea ssp. subcordata,659573
Arctostaphylos viridissima,143386
Comarostaphylis diversifolia ssp. planifolia,not found
Vaccinium ovatum,84019
Xylococcus bicolor,84021
Euphorbia maculata,216479
Euphorbia serpens,1046511
Euphorbia serpyllifolia,932095
Croton setigerus,316793
Euphorbia crenulata,1449365
Euphorbia misera,212939
Euphorbia peplus,38846
Euphorbia spathulata,212983
Ricinus communis,3988
Stillingia linearifolia,not found
Acacia cyclops,546665
Acacia decurrens,205044
Acacia dealbata,205042
Acacia melanoxylon,138028
Acmispon americanus var. americanus,100151
Acmispon argophyllus var. adsurgens,1159232
Acmispon argophyllus var. argenteus,1159233
Acmispon argophyllus var. niveus,1159235
Acmispon brachycarpus,390700
Acmispon dendroideus var. dendroideus,118916
Acmispon dendroideus var. veatchii,1159237
Acmispon dendroideus var. traskiae,871578
Acmispon grandiflorus var. grandiflorus,not found
Acmispon heermannii,1240362
Acmispon maritimus var. maritimus,118925
Acmispon micranthus,1394523
Acmispon parviflorus,390702
Acmispon strigosus,118928
