Arachniopsis,428505
Arachnis,464738
Arachnitis,179147
Arachnocalyx,not found
Arachnothryx,128270
Aracium,not found
Araeococcus,49476
Arafoe,52446
Aragallus,not found
Aragoa,193560
Araiostegia,328186
Araiostegiella,1033657
Aralia,13340
Aralidium,48204
Araliopsis,not found
Arapatiella,321548
Araracuara,not found
Aratitiyopea,196520
Araucaria,25666
Araujia,63462
Arbelaezaster,904411
Arberella,1482610
Arboa,1844005
Arbuscula,not found
Arbusculohypopterygium,262104
Arbutus,13342
Arcangelisia,432628
Arceuthobium,27219
Archakebia,155133
Archangiopteris,203825
Archboldiodendron,not found
Archeochaete,not found
Archeophylla,608794
Archephemeropsis,not found
Archeria,55254
Archiatriplex,880634
Archibaccharis,381972
Archiboehmeria,1399654
Archidendron,162647
Archidendropsis,468133
Archidium,98456
Archihyoscyamus,1442326
Archilejeunea,236153
Archiphysalis,not found
Archirhodomyrtus,178112
Archivea,not found
Archontophoenix,131254
Archytaea,256088
Arcoa,225967
Arctagrostis,227219
Arctanthemum,99029
Arcteranthis,286832
Arctium,4216
Arctoa,127157
Arctodupontia,not found
Arctogeron,not found
Arctomecon,99305
Arctophila,227210
Arctopoa,564795
Arctopus,160770
Arctoscyphus,not found
Arctostaphylos,83607
Arctotheca,259858
Arctotis,41477
Arctous,84010
Arcuatopterus,165488
Arcyosperma,663966
Arcypteris,not found
Arcytophyllum,60351
Ardisia,13344
Ardisiandra,110747
Areca,115440
Aremonia,57913
Arenaria,54972
Arenga,115442
Arenifera,1683876
Arethusa,78700
Aretiastrum,not found
Arfeuillea,556930
Argania,85883
Argemone,54795
Argentipallium,125655
Argocoffeopsis,349126
Argomuellera,316909
Argophyllum,49586
Argostemma,58436
Argylia,680199
Argyranthemum,99031
Argyrautia,not found
Argyreia,139739
Argyrobryum,not found
Argyrochosma,331973
Argyrocytisus,74571
Argyroderma,1352117
Argyroglottis,125657
Argyrolobium,49794
Argyrotegium,266087
Argyroxiphium,4244
Argythamnia,1123461
Arida,481910
Aridarum,293528
Arillastrum,22534
Ariocarpus,130093
Ariopsis,243723
Aripuana,94425
Arisaema,50230
Arisarum,267623
Aristea,58982
Aristeguietia,not found
Aristida,38709
Aristocapsa,1214372
Aristogeitonia,344411
Aristolochia,12947
Aristotelia,687325
Arjona,449995
Armatocereus,153837
Armeniaca,3754
Armenoprunus,not found
Armeria,63086
Armodorum,not found
Armoracia,3703
Arnaldoa,171748
Arnebia,373121
Arnellia,984549
Arnhemia,142706
Arnica,4246
Arnicastrum,176515
Arnicratea,not found
Arnocrinum,221219
Arnoglossum,422313
Arnoseris,122530
Arnottia,796485
Aronia,193297
Arophyton,201264
Arpophyllum,38180
Arrabidaea,83934
Arracacia,40925
Arrhenatherum,52138
Arrhenechthites,189206
Arrhenopterum,not found
Arrojadoa,176261
Arrojadocharis,1744998
Arrowsmithia,112338
Artabotrys,225832
Artanema,255814
Artanthe,not found
Artedia,79159
Artemisia,4219
Artemisiella,457709
Artemisiopsis,1754110
Arthraerua,327026
Arthragrostis,not found
Arthraxon,281063
Arthrocarpum,not found
Arthrocereus,1170777
Arthrochilus,163063
Arthroclianthus,not found
Arthrocnemum,239180
Arthrocormus,122774
Arthromeris,194880
Arthrophytum,not found
Arthropodium,51435
Arthropogon,158088
Arthropteris,29630
Arthrostemma,119870
Arthrostylidium,281069
Arthrostylis,269563
Artia,429511
Artocarpus,3488
Artorima,123105
Arum,4457
Aruncus,23143
Arundina,78702
Arundinaria,4590
Arundinella,66001
Arundo,35707
Arundoclaytonia,318952
Arytera,290914
