taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Tonella	246	0.56	0.5	0.0	0.0	0.83	0.0	1.0	0.6	0.4	1.0	0.0	0.67	0.41	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	1.0	0.0	0.56	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	1.0	0.62	0.0	0.41	1.0	0.5	0.0	0.0	0.86	0.3	0.0	0.0	0.0	0.0	1.0	0.0
Cheilanthes	4049	0.7	0.2	0.0	0.33	0.79	0.32	0.89	0.76	0.67	0.3	0.73	0.63	0.56	0.86	0.47	0.8	0.0	0.83	0.75	0.46	0.63	0.46	0.45	0.46	0.0	1.0	0.52	0.47	0.53	0.42	0.71	0.76	0.58	0.0	0.98	0.0	0.69	0.88	0.82	0.0	1.0	0.39	0.0	0.71	0.38	0.0	0.9	0.54	0.38	0.38	0.0	0.75	0.67	0.7	0.52	0.44	0.56	0.39	0.07	0.72	0.0	0.0
Malva	356	0.8	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.71	0.83	0.0	0.48	0.75	0.76	0.6	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.86	0.0	0.0
Oligomeris	757	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.54	0.55	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.95	0.0	0.0	0.85	0.75	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0
Meconella	615	0.54	1.0	0.0	0.0	0.55	0.43	0.0	1.0	0.0	0.5	0.53	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.52	0.25	0.25	0.33	0.0	1.0	0.0	0.0	0.44	0.0	1.0	0.78	1.0	0.0	0.0	0.93	0.0	0.0	0.89	0.85	0.54	0.0	0.13	0.44	0.68	0.86	0.0	0.7	0.0	0.0	0.0	1.0	0.4	0.25	0.0	0.67	0.0	0.22	0.39	0.13	0.78	0.0	0.0
Setaria	469	0.86	0.73	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.81	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.99	1.0	1.0	0.0	0.0	0.48	0.0	1.0	0.5	0.0	1.0	1.0	1.0	0.0	0.0	0.89	1.0	0.0	0.96	0.96	0.0	1.0	0.53	0.43	0.88	0.0	0.0	0.45	0.0	0.0	0.0	1.0	0.8	0.47	1.0	1.0	0.0	1.0	0.0	0.0	0.94	1.0	1.0
Allotropa	181	0.35	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.29	0.27	0.44	0.0	0.35	0.0	0.0	0.33	0.0	1.0	0.0	0.0	0.0	0.0	0.29	0.33	0.0	0.0	0.67	0.0	0.6	0.33	0.0	0.43	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.32	0.0	0.5	0.0	0.0	1.0	0.33	0.13	0.5	0.0	0.0	0.0	1.0
Comandra	444	0.82	0.0	0.0	0.71	1.0	1.0	0.0	0.0	0.0	0.93	0.8	0.0	1.0	0.0	0.77	0.96	0.0	0.0	0.67	0.0	0.71	0.0	0.72	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.9	0.0	0.0	0.0	0.0	1.0	0.93	0.73	0.77	0.0	0.0	0.0	0.0
Rorippa	1821	0.64	0.67	0.44	0.6	0.85	0.77	0.67	0.25	0.11	0.68	0.51	1.0	0.22	1.0	0.67	0.65	1.0	0.77	0.89	0.73	0.64	0.41	0.38	0.24	0.88	0.69	0.58	0.26	0.42	0.54	0.89	0.77	0.74	0.0	0.95	0.68	0.25	0.91	0.95	0.25	0.33	0.65	0.58	0.63	0.89	0.0	0.95	0.55	0.47	0.48	0.6	0.64	0.13	0.71	0.5	0.54	0.43	0.36	0.0	1.0	0.6	0.79
Salvia	10282	0.82	0.64	1.0	0.63	0.95	0.83	0.85	0.86	0.0	0.93	0.59	1.0	1.0	0.89	0.89	0.82	0.92	0.91	0.89	0.77	1.0	0.43	1.0	0.0	0.85	0.79	0.85	0.68	0.92	1.0	0.94	1.0	0.5	0.0	0.97	1.0	0.68	0.93	0.86	0.0	1.0	0.6	0.63	0.71	0.67	0.0	0.89	0.66	0.0	0.81	0.68	0.85	0.66	1.0	0.96	0.9	0.68	1.0	0.13	0.66	0.5	1.0
Polyctenium	93	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Constancea	181	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sidotheca	559	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.9	0.0	0.0	0.8	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.25	0.87	0.0	0.0
Lepidium	8370	0.76	0.55	0.55	0.72	0.85	0.81	0.94	0.69	0.0	0.63	0.53	0.97	0.39	0.94	0.65	0.74	0.85	0.89	0.9	0.67	0.36	0.53	0.74	0.61	0.68	0.71	0.62	0.4	0.44	0.64	0.8	0.89	0.7	0.0	0.98	0.82	0.5	0.92	0.9	0.38	0.83	0.47	0.52	0.74	0.61	0.0	0.89	0.57	0.57	0.49	0.65	0.53	0.76	0.52	0.74	0.25	0.47	0.57	0.13	0.94	0.76	0.63
Leptosyne	2974	0.67	0.5	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.53	0.0	0.0	1.0	0.47	0.66	1.0	0.0	0.0	0.68	0.88	0.0	0.33	0.0	0.75	0.0	0.0	0.24	0.0	0.0	0.17	0.4	0.0	0.0	0.94	0.0	0.38	0.82	0.79	0.0	0.88	0.52	0.0	0.75	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.24	0.36	0.07	0.68	0.0	0.0
Aesculus	763	0.86	0.82	0.0	0.44	0.97	1.0	1.0	0.84	0.0	1.0	1.0	1.0	0.97	0.0	0.0	1.0	0.0	1.0	0.0	0.97	0.64	0.93	0.82	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.67	1.0	0.5	0.85	0.7	0.83	0.0	1.0	0.81	0.0	0.0	0.85	0.7	1.0	0.0	1.0	1.0	0.6	0.56	0.25	0.0	0.94	0.6
Alnus	2252	0.93	0.76	1.0	0.92	0.98	1.0	1.0	0.82	0.99	0.98	0.97	1.0	0.99	0.0	0.0	1.0	0.0	1.0	1.0	0.99	0.31	0.97	0.9	1.0	1.0	0.0	0.96	0.98	1.0	0.97	1.0	0.97	0.95	0.0	0.94	1.0	1.0	0.99	0.88	0.0	1.0	0.61	0.9	0.93	0.76	0.0	1.0	0.84	1.0	0.94	1.0	1.0	0.6	0.0	1.0	0.98	0.69	0.78	0.12	0.95	1.0	1.0
