taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Chlorogalum_1	144	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsia	7456	0.65	0.44	0.45	0.74	0.86	0.81	0.85	0.5	0.34	0.7	0.64	0.84	0.42	0.0	0.59	0.64	0.0	0.81	0.82	0.71	0.7	0.73	0.51	0.58	0.68	0.58	0.6	0.44	0.57	0.65	0.74	0.82	0.73	0.0	0.98	0.57	0.51	0.86	0.86	0.87	0.79	0.53	0.7	0.59	0.62	0.0	0.92	0.62	0.71	0.38	0.5	0.65	0.8	0.85	0.68	0.43	0.6	0.56	0.06	0.63	0.76	0.6
Castilleja_4	2486	0.69	0.89	0.0	0.79	0.88	0.86	0.89	0.8	0.75	0.78	0.71	1.0	0.72	1.0	0.0	0.73	1.0	0.8	0.0	0.5	0.79	0.7	0.45	0.71	0.74	1.0	0.0	0.43	0.58	0.5	1.0	0.91	0.0	0.0	1.0	0.76	0.75	0.0	0.9	0.65	0.67	0.54	0.76	0.61	0.71	0.0	0.83	0.67	0.0	1.0	0.62	0.79	0.87	1.0	0.91	0.3	0.54	0.87	0.0	0.84	0.67	0.14
Gentiana	862	0.57	0.0	0.67	0.0	1.0	0.0	0.0	0.0	0.33	0.52	0.71	0.0	0.57	0.0	0.64	0.0	0.0	0.0	0.53	0.0	0.45	0.33	0.36	0.84	0.0	0.36	0.64	0.0	0.0	0.79	0.0	0.69	0.68	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.58	0.59	0.0	0.6	0.0	0.0	1.0	0.58	0.53	0.61	0.0	0.0	0.0	0.0
Castilleja_1	15347	0.72	0.59	0.75	0.5	0.83	0.8	0.82	0.75	0.69	0.81	0.76	0.81	0.65	1.0	0.66	0.7	1.0	0.77	0.84	0.7	0.6	0.71	0.61	0.76	1.0	0.7	0.68	0.6	0.49	0.83	0.76	0.92	0.81	0.0	0.97	0.75	0.51	0.89	0.84	0.6	1.0	0.55	0.61	0.67	0.55	0.0	0.83	0.79	0.72	0.59	0.58	0.73	0.7	0.59	0.88	0.58	0.78	0.72	0.06	0.69	0.76	0.29
Castilleja_3	2291	0.7	0.69	0.0	0.5	0.85	1.0	0.74	0.79	0.0	1.0	0.54	0.69	0.25	0.0	0.14	0.69	1.0	0.8	0.0	0.55	0.42	0.66	0.71	0.74	0.5	0.0	0.0	0.54	0.25	1.0	0.89	0.67	1.0	0.0	0.95	0.63	0.43	0.79	0.9	0.86	0.79	0.58	0.61	0.67	0.66	0.0	0.86	1.0	0.0	0.0	0.65	0.6	0.75	1.0	0.91	1.0	0.59	0.8	0.0	0.71	0.38	0.0
Castilleja_2	1039	0.84	0.0	0.82	1.0	0.94	1.0	1.0	0.0	0.33	0.9	0.87	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.92	0.0	0.78	1.0	0.59	0.5	0.41	0.66	0.64	0.0	1.0	0.9	0.0	0.87	0.76	0.0	1.0	0.76	0.0	1.0	0.67	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.76	0.8	0.71	0.5	0.62	0.67	1.0	0.4	0.91	0.92	0.0	1.0	1.0	1.0
Boechera_main_clade	8362	0.69	1.0	0.47	0.53	0.85	0.67	0.86	0.6	0.92	0.58	0.6	0.86	0.52	1.0	0.77	0.74	0.0	0.86	0.73	0.69	0.65	0.0	0.64	0.32	1.0	0.46	0.76	0.4	0.4	0.46	0.0	0.84	0.65	0.0	0.98	0.6	0.86	0.93	0.89	0.0	0.0	0.61	0.0	0.71	0.61	0.0	0.0	0.64	0.5	0.37	0.0	1.0	0.5	0.46	0.57	0.46	0.61	0.68	0.22	0.67	0.0	0.0
Plectritis	1868	0.64	0.69	0.0	0.76	0.89	0.57	0.76	0.67	0.33	0.75	0.65	0.88	0.31	0.0	0.0	0.71	1.0	0.82	0.84	0.5	0.63	0.7	0.45	0.54	0.55	0.59	0.0	0.44	0.53	0.7	0.8	0.83	0.63	0.0	0.98	0.71	0.7	0.9	0.78	0.5	0.5	0.52	0.54	0.84	0.52	0.0	0.78	0.53	0.5	0.42	0.78	0.74	0.77	0.67	0.89	0.44	0.48	0.63	0.0	0.89	0.67	0.33
California	279	0.81	0.85	0.0	0.0	1.0	0.0	1.0	0.89	0.0	0.0	0.8	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.86	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.81	0.0	0.73	0.0	1.0	0.47	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.57	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
