Bebbia_juncea,183007
Beckmannia_syzigachne,368345
Benitoa_occidentalis,161863
Bensoniella_oregona,34335
Berberis_nervosa,258188
Berberis_higginsiae,211975
Berberis_nevinii,258189
Berberis_aquifolium,203270
Berberis_fremontii,258163
Berberis_haematocarpa,258167
Berberis_harrisoniana,258168
Berberis_pinnata,258192
Bergerocactus_emoryi,130103
Bergia_texana,256092
Bernardia_incana,124822
Berula_erecta,54827
Betula_glandulosa,21018
Betula_occidentalis,223244
Bidens_cernua,51265
Bidens_frondosa,51269
Bidens_laevis,171344
Bistorta_bistortoides,not found
Blechnum_spicant,114457
Blennosperma_bakeri,not found
Blennosperma_nanum,13359
Blepharidachne_kingii,433846
Blepharipappus_scaber,149416
Blepharizonia_laxa,142836
Blepharizonia_plumosa,142837
Hemizonia_congesta,142838
Bloomeria_clevelandii,205721
Bloomeria_crocea,51442
Bloomeria_humilis,205708
Triteleia_bridgesii,51490
Triteleia_clementina,not found
Triteleia_crocea,205726
Triteleia_dudleyi,not found
Triteleia_grandiflora,205728
Triteleia_hendersonii,205730
Triteleia_hyacinthina,158496
Triteleia_ixioides,158497
Triteleia_laxa,167735
Triteleia_lilacina,not found
Triteleia_lugens,not found
Triteleia_montana,205734
Triteleia_peduncularis,158499
Boechera_acutina,not found
Boechera_arcuata,486422
Boechera_bodiensis,500740
Boechera_breweri,115938
Boechera_calderi,not found
Boechera_californica,not found
Boechera_cobrensis,486116
Boechera_constancei,500742
Boechera_covillei,not found
Boechera_davidsonii,486118
Boechera_depauperata,not found
Boechera_dispar,1222239
Boechera_divaricarpa,115915
Boechera_elkoensis,not found
Boechera_evadens,1222240
Boechera_glaucovalvula,486122
Boechera_hoffmannii,not found
Boechera_howellii,500455
Boechera_inyoensis,115921
Boechera_johnstonii,648810
Boechera_koehleri,486124
Boechera_lemmonii,93889
Boechera_lincolnensis,500747
Boechera_lyallii,81977
Boechera_parishii,81979
Boechera_pauciflora,not found
Boechera_paupercula,500752
Boechera_peirsonii,not found
Boechera_pendulina,486129
Boechera_pendulocarpa,500436
Boechera_perennans,115922
Boechera_pinetorum,115935
Boechera_pinzliae,not found
Boechera_platysperma,115923
Boechera_pratincola,not found
Boechera_puberula,115924
Boechera_pulchra,115925
Boechera_pygmaea,328417
Boechera_rectissima,115927
Boechera_retrofracta,115934
Boechera_rigidissima,648811
Boechera_rollei,1222243
Boechera_rubicundula,not found
Boechera_serpenticola,1222244
Boechera_shevockii,not found
Boechera_shockleyi,486135
Boechera_sparsiflora,115929
Boechera_stricta,72658
Boechera_subpinnatifida,486141
Boechera_suffrutescens,115930
Boechera_tiehmii,486142
Boechera_tularensis,not found
Boechera_ultraalsa,not found
Boechera_xylopoda,not found
Boechera_yorkii,1222246
Boechera_repanda,486133
Boerhavia_coccinea,122400
Boerhavia_coulteri,427786
Boerhavia_triquetra,not found
Boerhavia_wrightii,not found
Bolandra_californica,not found
Bolboschoenus_fluviatilis,388563
Bolboschoenus_maritimus,76417
Bolboschoenus_robustus,666188
Bothriochloa_barbinodis,330580
Botrychium_ascendens,41917
Botrychium_crenulatum,41919
Botrychium_lineare,41923
Botrychium_lunaria,37231
Botrychium_minganense,41924
Botrychium_montanum,41925
Botrychium_paradoxum,41926
Botrychium_pinnatum,41928
Botrychium_pumicola,41930
Botrychium_simplex,41931
Botrychium_tunux,1468438
Botrychium_yaaxudakeit,401573
Botrypus_virginianus,167744
Bouteloua_aristidoides,433849
Bouteloua_barbata,751607
Bouteloua_curtipendula,110875
Bouteloua_eriopoda,383921
Bouteloua_gracilis,48732
Bouteloua_trifida,252396
Bowlesia_incana,46376
Boykinia_rotundifolia,23241
Boykinia_major,46773
Boykinia_occidentalis,40729
Brandegea_bigelovii,386140
Brasenia_schreberi,4424
Brickellia_atractyloides,1550802
Brickellia_californica,176615
Brickellia_desertorum,1550815
Brickellia_frutescens,1550819
Brickellia_grandiflora,102755
Brickellia_greenei,1550824
Brickellia_incana,not found
Brickellia_knappiana,not found
Brickellia_longifolia,1550837
Brickellia_microphylla,1550840
Brickellia_nevinii,1550845
Brickellia_oblongifolia,1193814
Brodiaea_appendiculata,205709
Brodiaea_californica,244021
Brodiaea_coronaria,51444
Brodiaea_elegans,205710
Brodiaea_filifolia,205712
Brodiaea_insignis,not found
Brodiaea_jolonensis,112597
Brodiaea_kinkiensis,not found
Brodiaea_leptandra,not found
Brodiaea_minor,205713
Brodiaea_nana,not found
Brodiaea_orcuttii,205714
Brodiaea_pallida,not found
Brodiaea_rosea,205737
Brodiaea_santarosae,not found
Brodiaea_sierrae,not found
Brodiaea_stellaris,205715
Brodiaea_terrestris,205716
Dichelostemma_congestum,158492
Dichelostemma_ida-maia,158493
