taxon,18S,atpB,ndhF,
Astragalus_leucolobus,,,,
Astragalus_macrodon,,,,
Astragalus_magdalenae,,,,
Astragalus_malacus,,,,
Astragalus_miguelensis,,,,
Astragalus_minthorniae,,,,
Astragalus_mohavensis,,,,
Astragalus_monoensis,,,,
Astragalus_nevinii,,,,
Astragalus_newberryi,,,,
Astragalus_nutans,,,,
Astragalus_nuttallianus,,,,
Astragalus_nuttallii,,,,
Astragalus_obscurus,,,,
Astragalus_oocarpus,,,,
Astragalus_oophorus,,,AB052063.1,
Astragalus_oxyphysus,,,,
Astragalus_pachypus,,,,
Astragalus_palmeri,,,,
Astragalus_panamintensis,,,,
Astragalus_pauperculus,,,,
Astragalus_platytropis,,,,
Astragalus_pomonensis,,,,
Astragalus_preussii,,,,
Astragalus_pseudiodanthus,,,,
Astragalus_pulsiferae,,,,
Astragalus_purshii,,,,
Astragalus_pycnostachyus,,,,
Astragalus_rattanii,,,,
Astragalus_ravenii,,,,
Astragalus_sabulonum,,,,
Astragalus_sepultipes,,,,
Astragalus_serenoi,,,,
Astragalus_shevockii,,,,
Astragalus_subvestitus,,,,
Astragalus_tener,,,,
Astragalus_tidestromii,,,,
Astragalus_traskiae,,,,
Astragalus_tricarinatus,,,,
Astragalus_trichopodus,,,,
Astragalus_umbraticus,,,,
Astragalus_webberi,,,,
Astragalus_whitneyi,,,,
Astrolepis_cochisensis,,,,
Athyrium_distentifolium,,EF463560.1,,
Athyrium_filix-femina,HQ157254.1,JF832154.1,,
Athysanus_pusillus,,,,
Athysanus_unilateralis,,,,
Draba_cuneifolia,,,,
Atriplex_argentea,,,,
Atriplex_canescens,FJ601843.1,,AY090631.1,
Atriplex_confertifolia,,,,
Atriplex_cordulata,,,,
Atriplex_coronata,,,,
Atriplex_coulteri,,,,
Atriplex_depressa,,,,
Atriplex_dioica,,,,
Atriplex_elegans,,,,
Atriplex_fruticulosa,,,,
Atriplex_gardneri,,,,
Atriplex_gmelinii,,,,
Atriplex_hymenelytra,,,,
