taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Aira,HQ600554.1,AM234540.1,,DQ786806.1,KM360620.1,EF137588.1,,DQ780952.1,
Airampoa,,,,,,,,,
Airopsis,DQ539582.1,KJ529354.1,,KJ529461.1,,DQ631445.1,,,
Airosperma,,HM119503.1,,HM164348.1,,HM164302.1,,,
Airyantha,EF457704.1,JX295897.1,,,,,,,
Aistopetalum,,,,,,,,,
Aizoanthemum,AJ577768.1,,,,,,,,
Aizoon,AJ582916.2,,,,,HE585084.1,,,
Ajania,EF577282.1,KJ372406.1,,EU334463.1,KJ372416.1,EF577329.1,,,
Ajaniopsis,,,,,,,,,
Ajuga,JN575347.1,AY840130.1,,L36391.1,KP172044.1,JN408587.1,,,
Ajugoides,,HQ911452.1,,,,HQ911746.1,,,
Akania,,KU739542.1,KU739638.1,HM120260.1,L12568.2,,,AF209522.1,
Akeassia,,,,,,,,,
Akebia,KM092267.1,AB828455.1,AF197810.1,AY145143.1,L12627.2,JN102148.1,L31795.1,,
Akrosida,,,,,,,,,
Akschindlium,,,,,,,,,
Alafia,,EF456354.1,,,,EF456240.1,,,
Alamania,AF260177.1,AF263783.1,,,,AF267005.1,,,
Alangium,KP092580.1,FJ644649.1,AF520122.1,AF130221.1,KP088469.1,JN102141.1,AF206843.1,AJ235386.2,
Alania,,,,AY147773.1,Y14982.1,,,AY147612.1,
Alansmia,,,,,KM218803.1,JN654967.1,,AY459510.1,
Alantsilodendron,AF458801.1,AF521811.1,,,,AF278523.1,,,
Alatiliparis,,,,,,,,,
Alatoseta,,,,,,,,,
Alberta,FM204677.1,KJ136865.1,,AJ236282.1,Y18708.1,KT218890.1,,,
Albertinia,EF155744.1,,,EF155656.1,,EF155832.1,,,
Albertisia,EF143841.1,KC494021.1,,EF624261.1,FJ026460.1,EF143880.1,,FJ026399.1,
Albidella,EF088077.1,EF088125.2,,,,,,,
Albizia,KF933275.1,LC080886.1,AF520168.1,EU002195.1,KR528667.1,KF933279.1,U42536.1,AF209524.1,
Alboviodoxa,,,,,,,,,
Albraunia,AY731250.1,,,JN848477.1,,,,,
Albuca,HQ615132.1,HQ180853.1,,AF508391.1,HQ182415.1,AF508501.1,HM640745.1,HQ180444.1,
Alcantarea,,AY614032.1,,HQ895732.1,AY614397.1,AY614276.1,,,
Alcea,AH010172.2,EU346805.1,AY453094.1,EU346847.1,KM360621.1,KR150217.1,,,
Alchemilla,KX166742.1,JN894468.1,,,KM360638.1,KT322120.1,,,
Alchornea,KP092919.1,LK021374.1,,,KF981217.1,AY794797.1,,,
Alchorneopsis,,LK021376.1,,,AY794962.1,AY794800.1,,,
Alcicornium,,,,,,,,,
Aldama,HQ688852.1,,,,,,,,
Aldina,JN168675.1,JX295861.1,,,U74252.1,,,,
Aldrovanda,JN388080.1,AY096120.1,,,AY096106.1,,AY096114.1,AY096108.1,
Alectra,FJ790060.1,AF051977.1,,,DQ017785.1,,,,
Alectryon,HM116950.1,AF314794.1,,,AY724341.1,EU721380.1,GU476377.1,GU816985.1,
Aleisanthia,JQ398730.1,HM119506.1,,,HM164153.1,AF152660.1,,,
Aleisanthiopsis,JQ398732.1,LN680337.1,,HM164350.1,HM164154.1,AF152658.1,,,
Alepidea,AM158945.1,,,,,,,,
Alepidocline,,AY215759.1,,AF384690.3,AY215079.1,AY216138.1,,KJ434415.1,
Alepis,DQ333847.1,EF464508.1,,,KT626664.1,EF464481.1,L24139.1,,
Aletes,KF619603.1,KF620017.1,,,,,,,
Aletris,,AB679479.1,KF264492.1,,KM236110.1,JN086453.1,AB679363.1,AF308040.1,
Aleurites,AB441753.1,LK021377.1,,,AY794883.1,AY794709.1,,,
Aleuritopteris,,KP031646.1,,,U19498.1,DQ432678.1,,,
Alexa,JF491247.1,JX295931.1,,,JQ625719.1,JF491276.1,,,
Alexfloydia,GQ870176.1,HE574420.1,,HE573538.1,HE573337.1,GQ869950.1,,,
Alexgeorgea,,GQ409052.1,,,AF148759.1,AF148719.1,,,
Alfaroa,AF303806.1,U92849.1,AF520076.1,,KF418912.1,AF303779.1,,,
Alfredia,AY826224.1,AY785087.1,,KC589913.1,KC589786.1,AY772270.1,,,
Algaria,,,,,,,,,
Algernonia,,,,,,,,,
Algrizea,AM234126.1,AM489975.1,,,,JN091320.1,,,
Alhagi,JX494756.1,AY177669.1,,,AY545887.1,AB854520.1,,,
Alibertia,AF183766.1,JQ588903.1,,KF965011.1,Z68843.1,AF201029.1,,,
Alicia,,,,KM197312.1,KM197463.1,,,,
Aliciella,KJ159360.1,EU628537.1,,AF207964.1,,EU628493.1,,,
Alicularia,,,,,,,,,
Aliella,KC899257.1,,,,,HM246057.1,,,
Aligrimmia,,,,,,,,,
Alinula,JX566733.1,,,FM160510.1,AJ278290.1,,,,
Aliopsis,,,,,,,,,
Alisma,KX167396.1,AB040179.1,AF197815.1,HQ901541.1,HQ901563.1,AB889427.1,JF975495.1,DQ007417.1,
Alismorchis,,,,,,,,,
Alistilus,,JN008191.1,,,,,,,
Alkanna,FJ763250.1,EU599674.1,,KF287859.1,EU599850.1,FJ763304.1,,,
Allagopappus,U84765.1,,,FM208904.1,,FM997836.1,,,
Allagoptera,,AM114635.1,,AY044564.1,AY044631.1,AJ241311.1,,AY044468.1,
Allamanda,,Z70190.1,,,X91759.1,EF456099.1,,,
Allanblackia,EU128371.1,HQ331542.1,HQ331699.1,HQ331843.1,HQ332004.1,,,,
Allantodia,,,,,,,,,
Allantoma,JN222224.1,,,DQ388180.1,AF077657.1,DQ417929.1,,,
Allantospermum,,,,KX125049.1,KX125042.1,,,KX125047.1,
Allardia,AM774420.1,,,,JQ933522.1,,,,
Alleizettella,,,,,,,,,
Alleniella,HM105576.1,,,,,JF690826.1,,,
Allenrolfea,AY489236.1,AY514828.1,,,AY270052.1,HE577472.1,,,
Allexis,,AB354475.1,,,AB354403.1,AY739760.1,AB354511.1,AB354439.1,
Alliaria,KF849834.1,HQ593161.1,,DQ288727.1,KM360623.1,KF849818.1,,,
Allionia,DQ317079.1,FR775268.1,,,FR775286.1,,,,
Allioniella,,,,,,,,,
Allioniellopsis,,,,,,,,,
Allisoniella,,,,,,,,KF852036.1,
Allittia,AB435101.1,AB436892.1,,,,,,,
Allium,KR150145.1,KJ592840.1,DQ401400.1,JQ276779.1,KJ746311.1,JX017741.1,HF934589.1,,
Allmania,,,,,,,,,
Allmaniopsis,,AY998116.1,,,,,,,
Allocassine,DQ217500.1,DQ217551.1,,,JX572264.1,DQ217471.1,,,
Allocasuarina,HM116959.1,AY191675.1,,,X69527.1,KF419003.1,,,
Allocheilos,HQ632994.1,,,,,HQ632897.1,,,
Allochrusa,KF924634.1,AY936323.1,,,,,,,
Alloeochaete,,,,,,,,,
Alloispermum,KJ510658.1,AY215760.1,,AF384691.3,AY215080.1,AY216139.1,,,
Allolepis,GU359265.1,JF729082.1,,EF561646.1,JN681650.1,EF156670.1,,,
Allomaieta,,,,JF831970.1,JF831989.1,,,,
Allomarkgrafia,,EF456340.1,,,,EF456223.1,,,
Allomorphia,,,,,,,,,
Alloneuron,,,,JF831971.1,JF831996.1,,,,
Allophyllum,KJ159365.1,HQ116934.1,,AF207965.1,,HQ117057.1,,,
Allophylus,JN190973.1,AB925258.1,,,JQ626325.1,AY207572.1,,GU816986.1,
Alloplectus,AH009429.2,JQ589802.1,,AF013686.1,,JQ953896.1,,,
Allopterigeron,JX564697.1,,,LN607726.1,,,,,
Allorgea,,,,,,,,,
Allorgella,KT626909.1,,,,KF852316.1,KT626942.1,,,
Allosanthus,,,,,,,,,
Alloschemone,,AM920566.1,,,AM905744.1,AY398567.1,,,
Allosidastrum,AJ274965.1,JQ588217.1,,,JQ592492.1,,,,
Allosorus,,,,,,,,,
Allostelites,,,,,,,,,
Allostigma,HQ632977.1,,,,,HQ632880.1,,,
Allosyncarpia,AF190353.1,,,,,,,,
Alloteropsis,KT271682.1,KT271737.1,,KT271738.1,FR845811.1,GQ869937.1,,,
Allotropa,KF707552.1,AF440410.1,,,,,,,
Allowissadula,AJ274963.1,,,,,,,,
Allowoodsonia,,,,,,,,,
Alloxylon,EU676083.1,EU169608.1,,JQ257306.1,DQ875856.1,,,AF060428.1,
Alluaudia,,,,,,,KR904135.1,,
Alluaudiopsis,,HQ620843.1,,,,KM261940.1,,,
Almaleea,AF113758.1,,,AY883262.1,,,,,
Almeidea,KP866621.1,,,,,KP866585.1,,,
Almutaster,JQ360442.1,,,,,,,,
Alniphyllum,AF396437.1,HQ427279.1,,,AF396149.1,AF396162.1,,,
Alnus,KX167891.1,KF419027.1,AF520062.1,,KM360625.1,FJ012050.1,AY263900.1,AY147101.1,
Alobiella,,,,,,,,,
Alobiellopsis,JX629894.1,,,,KF852411.1,KJ802104.1,,KF852105.1,
Alocasia,AB429329.1,JQ238874.1,,,KC466582.1,JQ238800.1,,,
Alococarpum,AY941292.1,,,,,,,,
Aloe,KF013332.1,KU748252.1,,JQ276789.1,KF013426.1,KF013510.1,,AF168886.1,
Aloina,JX679952.1,,,,,GU953732.1,,,
Aloinella,,,,,,JN968437.1,,,
Aloinopsis,,KF132643.1,,,KF132537.1,KF132782.1,,,
Alomia,KP454307.1,,,KP454895.1,,,,,
Alomiella,,,,,,,,,
Alonsoa,DQ222398.1,JX091309.1,,AF188184.1,AF026821.1,HQ412948.1,,HQ384737.1,
Alopecurus,KP711079.1,KM538789.1,,DQ786809.1,KP711246.1,KP711122.1,X59455.1,DQ780954.1,
Alophia,,JQ670433.1,,,JQ670512.1,AJ409592.1,,,
Alophosia,,,,JN162177.1,AY312924.1,AF544997.1,AY126951.1,JN162136.1,
Aloysia,FJ867398.1,HM853865.1,,AF130154.1,HM853898.1,HM216589.1,,,
Alphandia,,,,,,,,,
Alphitonia,KJ630933.1,KM894554.1,,,KJ630939.1,KJ630946.1,,,
Alphonsea,KC878608.1,AY518811.1,,JQ690404.1,AY318970.1,AY319082.1,,,
Alpinia,,,,,,,JN581783.1,,
Alrawia,,JX090315.1,,,AM902332.1,AM902479.1,,,
Alseis,FJ984955.1,FJ905332.1,,AJ236283.1,Y18709.1,AF152647.1,,,
Alseodaphne,FM957797.1,AJ247144.2,,,KR528689.1,AF268697.1,,,
Alseuosmia,EU331131.1,AJ429378.1,GU351147.1,AJ238334.1,X87377.1,,AF206844.1,AJ236198.1,
Alsia,FM161073.1,,,,,,,,
Alsinidendron,,,,,,,,,
Alsodeiopsis,,KT738331.1,,AJ312953.1,KT740811.1,,,KT737918.1,
Alsomitra,,DQ536632.1,,,DQ535780.1,DQ536784.1,,,
Alsophila,,,,,,,,,
Alstonia,FJ980306.1,LN883874.1,,AJ011982.1,KR528697.1,LN883867.1,AF107570.1,,
Alstroemeria,JQ405055.1,KC796945.1,JQ404943.1,JQ404583.1,KM360626.1,AJ551332.1,KP420428.1,AY465546.1,
Altamiranoa,,,,,,,,,
Altensteinia,AM419765.1,AM900801.1,,,FJ571315.1,FJ571264.1,,FJ571163.1,
Alternanthera,KJ546121.1,AY514796.1,,,HM849761.1,KJ546119.1,,,
Althaea,EF679733.1,EU346795.1,,EU346811.1,KM360627.1,EF419726.1,,,
Althenia,AB906893.1,LC054848.1,,LC054862.1,LC054880.1,,,,
Altingia,GU576644.1,AF304521.1,EF370708.1,EF207458.1,DQ352376.1,DQ352213.1,U42552.1,AF092103.1,
Altoparadisium,,HE574027.1,,AY029619.1,AM849402.1,,,,
Aluta,,,,,,,,,
Alvaradoa,,,,,AF123277.1,,,AJ235387.2,
Alvesia,,,,,,AJ505436.1,,,
Alvimia,,,,AF182347.1,,,,,
Alvimiantha,,,,,,,,,
Alvordia,GQ864156.1,,,,,,,,
Alyogyne,,AY589059.1,,AF384659.1,,,,,
Alysicarpus,KT222206.1,JQ587509.1,,,KT222227.1,,,,
Alyssoides,KF022514.1,,,KF022861.1,,KM033541.1,,,
Alyssopsis,FJ187930.1,,,,,FJ188076.1,,,
Alyssum,KP015486.1,JF926641.1,,KF022931.1,,FN677633.1,,,
Alyxia,KP092765.1,EF456371.1,,,AJ419731.1,EF456090.1,,,
Alzatea,AM235849.1,AY151567.1,,AF215591.1,U26316.2,,AM235484.1,,
Amaioua,AF183772.1,GQ981931.1,,KF965012.1,AM117202.1,AF201030.1,,,
Amalia,,,,,,,,,
Amalocalyx,,EF456261.1,,,KF181484.1,EF456128.1,,,
Amalophyllon,AY047078.1,JX196056.1,,AY623161.1,,AY047137.1,,,
Amana,KJ402419.1,,,,,,,,
Amanoa,,AY830258.1,,AY830289.1,AY663562.1,,,AY830191.1,
Amaracarpus,JX155074.1,,,KJ804990.1,AJ002176.1,,,,
Amaranthus,KR150154.1,KX090207.1,,AF194822.1,KJ773260.1,EF688742.1,,AJ235388.2,
Amaroria,,,,,U38923.2,,,AF066856.1,
Amaryllis,JX464257.1,JX903555.1,,JQ276782.1,JQ273899.1,JX464334.1,JQ283909.1,JQ273604.1,
Amasonia,AY307079.1,,,AY310122.1,,FJ952067.1,,,
Amauria,AF378089.1,,,,,,,,
Amauriopsis,GU818493.1,GU817424.1,,GU817832.1,GU817741.1,GU817944.1,,,
Amauropelta,,,,,KF992418.1,KT805003.1,,,
Amazoopsis,,,,,,JF316582.1,,,
Ambassa,,,,,,,,,
Ambavia,,AY220435.1,,AY218168.1,JQ513886.1,JQ513889.1,,,
Ambelania,,DQ660497.1,,,JQ626070.1,,,,
Amberboa,L35883.1,,,JF754832.1,,JF754753.1,,,
Ambilobea,,,,,,,,,
Amblovenatum,,,,,,KT805018.1,,,
Amblyanthopsis,,,,,,,,,
Amblyanthus,,,,,,,,,
Amblygonocarpus,,AF521812.1,,,JX572301.1,AF278487.1,,,
Amblynotus,JQ388494.1,KF287804.1,,JQ388548.1,,JQ388575.1,,,
Amblyocarpum,,,,LN607725.1,,,,,
Amblyodon,,,,,AJ275181.1,AY501425.1,AF223033.1,,
Amblyodum,,,,,,,,,
Amblyolepis,AF229281.1,,,,,,,,
Amblyopappus,AF229292.1,AY215761.1,,AF384692.3,AY215081.1,AY216140.1,,,
Amblysperma,JX564767.1,KF989842.1,,KF989730.1,,KF989620.1,,,
Amblystegiella,,,,,,,,,
Amblystegium,AF464988.1,,,,AF464973.1,FJ535739.1,,AF322328.1,
Amblytropis,,,,,,,,,
Ambongia,,,,,,,,,
Amborella,,DQ185522.1,KF798332.1,AF235046.1,,,,AJ235389.1,
Amboroa,,,,,,,,,
Ambrella,,,,,,,,,
Ambrosia,DQ005969.1,AY215762.1,,AF384693.2,AY215082.1,AY216141.1,,,
Ambrosina,,AM920620.1,,,AM905798.1,AY555185.1,,,
Ambuchanania,,,,,GQ368609.1,GQ368649.1,GQ375079.1,,
Amburana,DQ787386.1,JX846614.1,,,EF466144.1,JF491277.1,,,
Ameghinoa,EF530223.1,,,,,EF530269.1,,,
Amelanchier,KT861814.1,DQ860450.1,,,KM360630.1,DQ863222.1,,,
Amelasorbus,,,,,,,,,
Amellus,DQ478995.1,,,,AM234845.1,,,,
Amentotaxus,KJ588939.1,JQ512393.1,,,JQ512517.1,EF660622.1,,,
Amerimnon,,,,,,,,,
Ameroglossum,,,,,,,,,
Amerosedum,,,,,,,,,
Amesia,,,,,,,,,
Amesiella,EF079433.1,AB217706.1,,U20662.1,DQ195016.1,DQ091443.1,,,
Amesiodendron,EU720403.1,,,,,EU721344.1,,,
Amethystea,EF508062.1,,,AY115882.1,,,,,
Amherstia,,EU361849.1,,,AM234234.1,AF549295.2,,,
Amianthium,AF303702.1,KP642885.1,,,AJ417895.1,AF303670.1,,AJ417582.1,
Amicia,JN579613.1,AF203583.1,,,,KF477933.1,,,
Amischotolype,,,,AY624110.1,AF312239.1,KC512030.1,AY952410.1,,
Amitostigma,,,,,,,,,
Ammandra,FJ719004.1,AM114611.1,,EF128275.1,AJ404838.1,,,,
Ammannia,HQ878335.1,GU228432.1,,KU761922.1,AY905404.1,AY905453.1,,,
Ammi,HQ202151.1,U58543.1,,,HM849768.1,,,,
Ammobium,JQ956647.1,AF151435.1,,,,AF141795.1,,,
Ammocalamagrostis,,,,,,,,,
Ammocharis,AY139121.1,JX464522.1,,JX903338.1,JX903148.1,JX464335.1,,JX903755.1,
Ammochloa,DQ539587.1,,,,,DQ631451.1,,,
Ammodaucus,,,,,,,,,
Ammodendron,EF457705.1,AY386957.1,,,,,,,
Ammoides,KJ473898.1,,,,,,,,
Ammophila,FJ377623.1,AM234561.1,,JX438118.1,AJ784835.1,DQ631456.1,Z94153.1,,
Ammopiptanthus,KU178933.1,,,,,KP636628.1,DQ907913.1,,
Ammoselinum,,,,,,,,,
Ammosperma,GQ424606.1,,,,,,,,
Amolinia,,,,,,,,,
Amomum,KT898257.1,KJ872362.1,,,KJ871759.1,AY769790.1,KJ151894.1,,
Amomyrtella,,,,,,,,,
Amomyrtus,AM234069.1,AM489976.1,,,,,,,
Amoreuxia,,,EU281098.1,,Y15142.1,,,,
Amoria,,,,,,,,,
Amorimia,,HQ247191.1,,AY499101.1,HQ247433.1,,,,
Amorpha,,,,,,,,,
Amorphophallus,KR870873.1,,,,KM093838.1,AY054703.1,,,
Ampelamus,,,,,,,,,
Ampelaster,JQ360391.1,,,,,,,,
Ampelocalamus,AF280993.1,JN247081.1,,KC020491.1,KF796679.1,,,,
Ampelocera,KC539602.1,KC539636.1,,KC539671.1,AF500335.1,AF501592.1,KC539569.1,,
Ampelocissus,KF544858.1,,,,KT344147.1,KT344396.1,,,
Ampelodesmos,KM077283.1,LN554421.1,,GU222746.1,AJ746172.1,EU200838.1,,,
Ampelopsis,KP159331.1,KP088956.1,,,JQ182476.1,KF022310.1,,,
Ampelopteris,,,,,JN572315.1,,,,
Ampelosicyos,,DQ521608.1,,,DQ501254.1,DQ501272.1,,,
Ampelosycios,,DQ521608.1,,,DQ501254.1,DQ501272.1,,,
Ampelozizyphus,,,,,AJ390037.1,,,,
Amperea,,LK021378.1,,,AY794911.1,HG971815.1,,,
Amphiachyris,AF477627.1,,,,,,,,
Amphiasma,AM939426.1,,,,AJ616209.1,EU543080.1,,,
Amphiblemma,,,,AF215588.1,AF215543.1,,,,
Amphibolia,AJ438223.1,KF132644.1,,,AJ532668.1,AJ439013.1,,,
Amphibolis,,KP083060.1,,HQ901548.1,KF488485.1,,,HQ901524.1,
Amphibologyne,,,,,,,,,
Amphicarpaea,AF417013.1,EU717399.1,,,AB045786.1,EU717317.1,,EU717499.1,
Amphicarpum,,HE574029.1,,HE586631.1,HE573338.1,,,,
Amphicephalozia,,,,,,,,,
Amphicosmia,,,,,,,,,
Amphidasya,EU145383.1,LN680338.1,,LN680385.1,Y11844.1,AF152624.1,,,
Amphidium,AF144121.1,,,,AF005543.1,AF231169.1,,,
Amphidoxa,,,,,,,,,
Amphiglossa,JF893880.1,,,,AM234846.1,KR559445.1,,,
Amphijubula,,,,,,,,,
Amphilejeunea,,,,,,,,,
Amphilophium,EU812819.1,JX495668.1,,FJ887849.1,KJ594434.1,FJ870013.1,,,
Amphilophocolea,,,,,HM439103.1,HM439108.1,,,
Amphimas,,JX295894.1,,,,,,,
Amphineurion,,EF456258.1,,,AJ419730.1,EF456125.1,,,
Amphineuron,,,,,,KT805018.1,,,
Amphinomia,,,,,,,KC901906.1,,
Amphiolanthus,,,,,,,,,
Amphipappus,AY170929.1,,,,,,,,
Amphipetalum,,,,,,,,,
Amphiphyllum,,,,AF207638.1,,,,,
Amphipogon,,,,,,,,,
Amphipterum,,,,,,,,,
Amphipterygium,,AY594458.1,,,GU935415.1,AY594496.1,,GU943752.1,
Amphirrhox,,AB354476.1,,,AB354404.1,KC699636.1,AB354512.1,AB354440.1,
Amphiscirpus,AF190618.1,KP165400.1,,AY129254.1,DQ317926.1,AF285066.1,,,
Amphistemon,,,,,GU475970.1,GU475981.1,,,
Amphitecna,,JQ586979.1,,FJ887850.1,AF102640.1,EF105054.1,,,
Amphithalea,AF287673.1,KP109982.1,,,AM177369.1,,,,
Amphoricarpos,KR704979.1,AY785089.1,,KC589915.1,KC589788.1,AY772272.1,,,
Amphoridium,,,,,,,,,
Amphoritheca,,,,,,,,,
Amphorocalyx,JQ730047.1,,,,,,,,
Amphorogyne,,EF584614.1,,,,,EF584571.1,,
Amphymenium,,,,,,,,,
Amsinckia,JQ388495.1,JQ388521.1,,KF158024.1,KF158093.1,KF288027.1,,,
Amsonia,KJ649326.1,AM295066.1,,,AM295078.1,KJ649333.1,KJ649324.1,,
Amydrium,,AM920567.1,,,AM905745.1,AY555161.1,,,
Amyema,HM116953.1,EU544412.1,DQ110298.1,,EU544465.1,DQ340583.1,AF039073.1,,
Amylotheca,DQ333849.1,EU544413.1,,,KF496311.1,EU544477.1,,,
Amyrea,,LK021379.1,,,AY794964.1,AY794801.1,,,
Amyris,,KJ012461.1,,,JQ594533.1,,,,
Amyxa,,,,,,,,,
Anabasis,EF453383.1,,,HM630037.1,HM131751.1,,,,
Anacalypta,,,,,,,,,
Anacampseros,L78060.1,AY514851.1,,AF194833.1,AY875246.1,KM261952.1,,,
Anacamptiplatanthera,,,,,,,,,
Anacamptis,KP742370.1,JN895643.1,,,KF997322.1,,,,
Anacamptodon,AY009810.1,,,,AF231077.1,AY009816.1,,AF322336.1,
Anacamptorchis,,,,,,,,,
Anacantha,,,,,,,,,
Anacaona,HQ201960.1,DQ536756.1,,,EU036995.1,DQ536785.1,,,
Anacardium,KF664192.1,AY594459.1,,KF664342.1,AY462008.1,AY594497.1,AF509498.1,,
Anacolia,AF525797.1,,,,AY853985.1,AY857808.1,,,
Anacolosa,,DQ790181.1,,,DQ790144.1,,,,
Anacyclus,KM887397.1,KJ499984.1,,GU817828.1,GU817737.1,GU817959.1,,,
Anadelphia,,LN906639.1,,LN908037.1,LN907874.1,,,,
Anadenanthera,JQ910930.1,EU812064.1,,EU811941.1,EU811896.1,AF278481.1,,,
Anadendrum,,AM920547.1,,,AM905740.1,AY398560.1,,,
Anaectocalyx,AY460460.1,,,,,,,,
Anagallis,EF436999.1,JN893965.1,,AF130212.1,M88343.1,EF437056.1,AF206845.1,AJ235390.2,
Anagyris,AF330637.1,KP230735.1,,,Z70122.1,FJ499430.1,,,
Anakasia,,,,,,,,,
Anamaria,,,,,,,,,
Anamirta,,KC494022.1,,EF624262.1,EU526983.1,EF143887.1,,FJ026400.1,
Ananas,,EU780844.1,,AY147766.1,KC123347.1,KU762974.1,D29786.1,AY147601.1,
Anangia,,,,,,,,,
Ananthacorus,,,,,U20932.1,,,,
Anapalina,,,,,,,,,
Anapausia,,,,,,,,,
Anapeltis,,,,,,,,,
Anaphalioides,U95278.1,HM445610.1,,HM445707.1,KT626807.1,HM364520.1,,,
Anaphalis,GU444021.1,HM445632.1,,HM445660.1,JQ933215.1,FN645762.1,,,
Anaphyllopsis,,AM920575.1,,,AM905753.1,AY054726.1,,,
Anaphyllum,,HQ687766.1,,,,,,,
Anarrhinum,AF513881.1,KX401333.1,,AJ245815.1,KX421117.1,,,KX401369.1,
Anarthria,,DQ257497.3,,EU832882.1,AF148760.1,AF148720.1,KM103389.1,AJ419129.1,
Anarthrophyllum,EF457707.1,AY386923.1,,,KC876097.1,FJ839593.1,,,
Anarthropteris,,,,,,,,,
Anastatica,GQ424524.1,GQ424573.1,,,,,,,
Anastrabe,AJ616314.1,FN773529.1,,AJ619552.1,KF147454.1,FN794042.1,,,
Anastraphia,KF989547.1,KF989866.1,,KF989766.1,AY874433.1,KF989655.1,,,
Anastrepta,DQ875126.1,,,,JF513450.1,DQ875088.1,,KF851994.1,
Anastrophyllum,KF836644.1,,,,AY507390.1,EU791664.1,,AY507345.1,
Anathallis,KC425736.1,AF265473.1,,,JN589974.1,AF265495.1,,,
Anatropanthus,,,,,,,,,
Anaxagorea,,AY220436.1,,EF179280.1,AY319075.1,AY319189.1,,,
Anaxeton,AY445224.1,,,,AM234847.1,AF100489.1,,,
Ancana,,,,,,,,,
Ancathia,AY914811.1,KC590012.1,,KC589916.1,KC589789.1,FJ007861.1,,,
Anchietea,,AB354479.1,,,AB354407.1,KC699640.1,AB354513.1,AB354441.1,
Anchomanes,,AF387427.1,,,AF497108.1,AY555186.1,,,
Anchonium,DQ357512.1,,,,FN594834.1,,,,
Anchusa,KF454485.1,EU599733.1,,KF158060.1,KM360631.1,GQ285252.1,,AJ504808.1,
Ancistrachne,,HE574030.1,,HE573521.1,HE573339.1,,,,
Ancistragrostis,,,,,,,,,
Ancistranthus,,,,,,,,,
Ancistrocarphus,,,,,,,,,
Ancistrocarpus,,,,,,,,,
Ancistrocarya,,,,,,,,,
Ancistrochilus,AF521061.1,AY121729.1,,,AF264152.1,AF519929.1,,,
Ancistrocladus,KF423411.1,GQ470528.1,GU351148.1,,Z97636.1,,,AF209526.1,
Ancistrodes,HQ443710.1,,,,AY631173.1,AY101380.1,,GQ497637.1,
Ancistrorhynchus,EF670388.1,EF079268.1,,,,EF670435.1,,,
Ancistrostylis,,,,,,,,,
Ancistrothyrsus,,AB536618.1,,,DQ123391.1,DQ123523.1,AB536657.1,AB536579.1,
Ancistrotropis,JN008373.1,AY582984.1,,,,,,,
Ancylobothrys,,JX517602.1,,,AJ419732.1,,,,
Ancylostemon,KJ475433.1,KJ137897.1,,U62183.2,HQ327452.1,KM979453.1,,,
Ancylotropis,,,,,,,,,
Andeimalva,AY217202.1,AY232634.1,,FJ204735.1,,,,,
Anderbergia,KT865455.1,,,,,AF100490.1,,,
Andersonia,,,,,,,,,
Andinia,KC425739.1,AF265455.1,,,,AF265502.1,,,
Andira,FJ542804.1,AF142681.1,,,U74199.1,AY899701.1,,,
Andoa,FM161074.1,,,,,,,,
Andrachne,AY936648.1,LN554246.1,,AY830291.1,AY663565.1,,,AY830193.1,
Andradea,EF079491.1,,,,,,,,
Andreadoxa,KP866627.1,,,,,KP866586.1,,,
Andreaea,AF033637.1,LN828295.1,,JN388765.1,JN388793.1,AY312939.1,AJ243169.1,,
Andreaeobryum,,,,HQ413022.1,AF231059.1,,AJ275005.1,JX241541.1,
Andrewsianthus,,,,,KC184707.1,,,,
Andriana,,,,,,,,,
Androcalymma,,,,,,,,,
Androcorys,,,,,,,,,
Androcryphia,,,,,,,,,
Androcymbium,KC899564.1,KC796911.1,KC899511.1,AF276012.1,KC796860.1,AJ551339.1,,KP083032.1,
Andrographis,KC441009.1,KC594656.1,,JN686620.1,JQ933217.1,EU528914.1,FJ002343.1,,
Androlepis,,AY950005.1,,,EU219678.1,FJ942941.1,,,
Andromeda,AF358872.1,JF801293.1,,JF801387.1,AF124572.1,JF801624.1,,,
Andropogon,HM347004.1,LN906648.1,,LN908046.1,LN907883.1,AY116263.1,,,
Andropterum,,,,,,,,,
Androsace,KJ542782.1,KT176584.1,GU351149.1,KT176824.1,KT178104.1,DQ378838.1,KT179714.1,KT176233.1,
Androsiphonia,KC207259.1,AB536619.1,,,AB536541.1,,AB536658.1,AB536580.1,
Androstachys,,AY552461.1,AY674474.1,AF500495.1,AF206734.1,,AF206848.1,AF209527.1,
Androstephium,,JQ276424.1,,JQ276811.1,JQ273929.1,AF508461.1,JQ283897.1,JQ273634.1,
Androtium,,,,,,,,,
Androtrichum,,,,,EF178547.1,,,,
Androya,,AJ429329.1,,AF027276.1,AJ001756.1,,,,
Andryala,KM372101.1,AJ633169.1,,AF218338.1,HM849774.1,AY879119.1,,,
Andrzeiowskia,AJ628337.1,,,,,,,,
Anechites,,,,,AJ419733.1,AM295087.1,,,
Aneilema,,,,AY624113.1,AF312252.1,,,,
Anelsonia,JX146937.1,,,DQ288729.1,,JX146081.1,,,
Anemarrhena,KT898260.1,JQ276384.1,,JQ276772.1,JQ273889.1,AB685323.1,JQ283939.1,JQ273594.1,
Anemia,,JF303905.1,,,KT423955.1,KT423523.1,AY612716.1,EF463322.1,
Anemidictyon,,,,,,,,,
