taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Adinandra,KP092618.1,DQ924093.1,AY163739.1,DQ924201.1,AF089713.1,HQ158574.1,,AJ235383.2,
Adinauclea,AJ492637.1,,,GQ852164.1,AJ346966.1,,,,
Adiscanthus,,,,,,EU853775.1,,,
Adlumia,,KM364791.1,,,KM364740.1,HE603352.1,,KM364710.1,
Adolphia,AF048973.1,AF049847.1,,,AJ390055.1,KP299387.1,,,
Adonidia,KJ598240.1,KJ598374.1,,,AJ829848.1,,,,
Adonis,KF233849.1,KU213018.1,,KU196916.1,EU053900.1,AH012590.2,,EU053870.1,
Adopogon,,,,,,,,,
Adoxa,DQ009612.1,AF446900.1,,AF060156.2,KM360613.1,AF366927.1,GQ983560.1,GQ983610.1,
Adriana,,LK021372.1,,,AY794917.1,AY794736.1,L37581.1,AB233647.1,
Adromischus,AY692318.1,AF115576.1,,,AM234968.1,AY692286.1,,,
Adrorhizon,GU556630.1,GQ145084.1,,,FN870754.1,,,,
Aechmea,,KU762887.1,,L75897.1,KC123380.1,KU762989.1,,AF168885.1,
Aedesia,,,,,,,,,
Aegialitis,,,AY289665.1,,AJ312252.1,,AY289640.1,,
Aegiceras,KC460264.1,KJ784589.1,AY289673.1,AF213734.1,U96653.1,,AY289648.1,AF213776.1,
Aegilops,KJ459909.1,,,,LN626632.2,KR559558.1,X66111.1,KX401421.1,
Aegilotriticum,,DQ420043.1,,,,,,,
Aeginetia,AY596819.1,,,,,EU572720.1,KC588398.1,,
Aegiphila,DQ070729.1,JQ588060.1,,AY310121.1,KJ082109.1,FJ952073.1,,,
Aegle,,,,,,,,,
Aeglopsis,,EF138837.1,,,EF126500.1,EF126634.1,,EF118827.1,
Aegokeras,JQ792226.1,,,,,,,,
Aegonychon,FJ763251.1,FJ789895.1,,,HE963362.1,FJ763305.1,,AJ504811.1,
Aegopodium,JQ792204.1,U58542.1,,,U50220.1,JQ041833.1,,,
Aegopogon,,,,,,,,,
Aeluropus,GU359261.1,AF144597.1,,JN681717.1,EF125095.1,,,,
Aenhenrya,,,,,,,,,
Aenictophyton,AF287654.1,,,,,AF518144.1,,,
