taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Sisymbrium orientale,AB856329.1,,,LC090144.1,AB856328.1,DQ649092.1,,,
Thysanocarpus conchuliferus,GU246123.1,,,,,GU246186.1,,,
Thysanocarpus curvipes,GU246150.1,,,EU718613.1,,GU246212.1,,,
Thysanocarpus laciniatus,GU246173.1,,,,,GU246225.1,,,
Tropidocarpum gracile,GQ497883.1,,,AY514394.1,,,,,
Turritis glabra,LC090021.1,AF144333.1,,DQ288840.1,DQ310542.1,DQ310517.1,,,
Bergerocactus emoryi,,FN997332.1,,,KF783402.1,DQ099925.1,,,
Cylindropuntia prolifera,HQ872600.1,FN997529.1,,,LN871086.1,,,,
Opuntia ficus-indica,KJ735928.1,FN997314.1,,,FJ026615.1,KJ735937.1,,,
Opuntia littoralis,HQ872541.1,,,,,,,,
Opuntia oricola,JF786969.1,FN997407.1,,,JF787249.1,JF712784.1,,,
Lobelia dunnii,AF163408.1,AF176896.1,,,,,,,
Lonicera hispidula,EU240689.1,,,,EU265547.1,,,,
Symphoricarpos mollis,GQ268143.1,GQ284959.1,,,,GQ305418.1,,,
Cardionema ramosissimum,JN589039.1,,,,,JN589639.1,,,
Cerastium glomeratum,AY857977.1,JN895359.1,,AY090618.1,HM849882.1,FJ490783.1,,,
Herniaria hirsuta var. cinerea,JN589052.1,JN589270.1,,,,JN589681.1,,,
Loeflingia squarrosa,JN589104.1,,,AY090620.1,,JN589659.1,,,
Minuartia douglasii,KF737459.1,FJ404842.1,,,,FJ404992.1,,,
Polycarpon tetraphyllum,AY936252.1,FJ404860.1,,AY090622.1,HM850271.1,FJ405009.1,,,
Sagina apetala,KF737495.1,KF737608.1,,,HM850327.1,,,,
Silene antirrhina,DQ908631.1,KT176621.1,KT458998.1,KT176861.1,KT178141.1,,KT179718.1,KT176269.1,
Silene gallica,U30985.1,KF305892.1,,,HM850354.1,,,,
Silene laciniata ssp. laciniata,DQ908646.1,,,,,,,,
Silene coniflora,HQ334908.1,HQ334915.1,,,,,,,
Spergula arvensis,JX274532.1,JN589292.1,,,KM360994.1,JN589733.1,,,
Spergularia marina,AY286529.1,JN895293.1,,AY090621.1,HM850381.1,,,,
Stellaria media,KR082779.1,JQ844147.1,,HQ843288.1,M62570.1,EU785989.1,AF207027.1,AF209680.1,
Stellaria nitens,JN589137.1,JN589166.1,,,,JN589702.1,,,
Aphanisma blitoides,AY858591.1,AY514844.1,,AY858628.1,AY270057.1,AY858601.1,,,
Arthrocnemum subterminale,,,,,JQ693431.1,,,,
Extriplex californica,HM005851.1,HM005771.1,,,HM587602.1,,,,
Atriplex lentiformis,AM420687.1,HM005793.1,,,HM587586.1,,,,
Atriplex leucophylla,HM587526.1,,,,HM587587.1,,,,
Atriplex patula,HM005859.1,AY042550.1,,,X15925.1,DQ499379.1,,,
Atriplex prostrata,HM005857.1,JN894517.1,,,HM849802.1,,,,
Atriplex rosea,HM005858.1,HM005778.1,,,X55831.1,,,,
Atriplex semibaccata,AM420696.1,,,,,,,,
Atriplex serenana var. serenana,HM005868.1,HM005788.1,,,,,,,
Atriplex watsonii,HM005871.1,HM005791.1,,,,,,,
Bassia hyssopifolia,KF785955.1,,,,AY181817.1,,,,
Beta vulgaris ssp. maritima,KP748129.1,KP747936.1,,,HM849814.1,KP747815.1,,,
Chenopodium berlandieri,KP226664.1,HE855645.1,,,,HE577569.1,,,
Chenopodium californicum,KJ629065.1,HE855616.1,,,,HE577516.1,,,
Chenopodium murale,KF850585.1,HE855632.1,,,HM849890.1,HE577545.1,,,
Dysphania ambrosioides,FJ980362.1,HE855605.1,,,HM587599.1,HE855683.1,,,
Dysphania multifida,,,,,,HE577494.1,,,
Monolepis nuttalliana,,HE855621.1,,HM630055.1,JX848452.1,HE577515.1,,,
Salicornia depressa,FJ010626.1,,,,DQ340116.1,,,,
Salicornia pacifica,FJ010626.1,,,,DQ340116.1,,,,
Salsola australis,EU862806.1,,,,,,,,
Salsola tragus,EU447200.1,,,,,,,,
Suaeda calceoliformis,KM998297.1,KC475960.1,,,KR057191.1,,,,
Suaeda taxifolia,DQ499354.1,,,,KR057202.1,,,,
Peritoma arborea,KF217219.1,EU371813.1,,AY122389.1,,,,,
Calystegia macrostegia ssp. cyclostegia,,KC529144.1,,,KC529299.1,,,,
Calystegia malacophylla ssp. pedicellata,KC528924.1,KC529146.1,,,KC529301.1,,,,
Calystegia soldanella,EU812833.1,JN894768.1,,,KT626673.1,,,,
Convolvulus arvensis,AY558826.1,KT176616.1,,KT176856.1,KT178135.1,AY101102.1,KT179695.1,AJ236186.1,
Convolvulus simulans,,KC529122.1,,,KC529277.1,,,,
Cressa truxillensis,,,,,AY101015.1,AY101124.1,,AY100806.1,
Cuscuta californica,EU883481.1,,,,EU883446.1,EU883435.1,,,
Cuscuta campestris,KT383194.1,,,,EU330268.1,KT371720.1,,,
Cuscuta occidentalis,EF194695.1,,,,EU883459.1,EF194483.1,,,
Cuscuta pacifica var. pacifica,GQ254888.1,,,,EU883463.1,GQ254879.1,,,
Dichondra occidentalis,,,,,AY101023.1,AY101132.1,,,
Ipomoea cairica,AY538278.1,KJ652186.1,,,KJ773590.1,KR738517.1,,,
Cornus glabrata,DQ340499.1,DQ340458.1,,,,,,,
Dudleya blochmaniae ssp. blochmaniae,JX960498.1,,,,,JX960539.1,,,
Dudleya blochmaniae ssp. insularis,JX960499.1,,,,,JX960540.1,,,
Dudleya candelabrum,JX960502.1,AF115605.1,,,,JX960544.1,,,
Dudleya greenei,KC426970.1,AF115606.1,,,,,,,
Dudleya gnoma,KC426966.1,,,,,,,,
Dudleya nesiotica,KC426975.1,,,,,,,,
Dudleya traskiae,KC426977.1,,,,,,,,
Dudleya virens ssp. hassei,KC426982.1,,,,,,,,
Dudleya virens ssp. insularis,,,,,,JX960568.1,,,
Dudleya virens ssp. virens,,,,,,JX960570.1,,,
Crossosoma californicum,,,GU351191.1,EU002216.1,,,U42529.1,AF209571.1,
Cucurbita foetidissima,,HQ438600.1,,,HQ438632.1,HQ438678.1,,,
Marah fabacea,,DQ536698.1,,,DQ535758.1,DQ536837.1,,,
Marah macrocarpa,JN560192.1,AY968453.1,,AY968506.1,U59825.1,AY968387.1,AF008956.1,AY968439.1,
Arbutus menziesii,AF086828.1,,,,AF419813.1,,,,
Arctostaphylos catalinae,GQ280917.1,,,,,,,,
Arctostaphylos confertiflora,GQ280919.1,,,,,,,,
Arctostaphylos insularis,GQ280936.1,,,,,,,,
