taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB
Senecio_flaccidus_var_douglasii,AF161640.1,,,,,,,
Senecio_glomeratus,EU331117.1,AY554083.1,,,,,,
Senecio_vulgaris,EF538396.1,AF151509.1,,EF538017.2,HM850347.1,EF538139.1,,
Silybum_marianum,AJ831537.1,AY013551.1,,KC589999.1,KC589895.1,AF129836.1,AM267320.1,
Sonchus_asper,KT249862.1,DQ022963.1,,,HM850372.1,JQ041867.1,,
Sonchus_oleraceus,KT249905.1,EU385397.1,,EU385206.1,KM360989.1,KF196068.1,,
Sonchus_tenerrimus,AY458000.1,DQ840452.1,,,HM850374.1,,,
Stebbinsoseris_heterocarpa,AJ581722.1,,,,,,,
Stephanomeria_cichoriacea,AF473649.1,,,,,,,
Stephanomeria_diegensis,AF473618.1,AJ633245.1,,,,,,
Stephanomeria_exigua_ssp_coronaria,AF473633.1,,,,,,,
Stephanomeria_virgata_ssp_virgata,AF473622.1,,,,GQ429024.1,GQ429030.1,,
Symphyotrichum_subulatum,LC027381.1,HM850626.1,,,HM849800.1,JN315903.1,,
Taraxacum_erythrospermum,AJ633291.1,AJ633160.1,,,,KF275137.1,,
Taraxacum_officinale,AB766235.1,AJ633157.1,,AF218346.1,KM361005.1,EF015611.1,,
Thelesperma_megapotamicum,AY017367.1,AY551501.1,,,,EU047883.1,,
Tragopogon_porrifolius,FJ980347.1,AJ633261.1,,L39391.1,GQ436477.1,EF374362.1,,
Uropappus_lindleyi,AF386495.1,AJ633242.1,,AF218334.1,,,,
Venegasia_carpesioides,AF229301.1,AY215876.1,,AF384797.3,AY215192.1,AY216252.1,,
Xanthium_spinosum,,HM850669.1,,,HM850472.1,,,
Xanthium_strumarium,DQ005983.1,KP210453.1,,,HM850473.1,,,
Batis_maritima,,AY483219.1,GU351158.1,EU002199.1,M88341.1,,U42504.1,AF209538.1
Amsinckia_menziesii,JQ513392.1,,,,KF997304.1,KC542579.1,,
